,X1,X2,cluster
0,-104.75514,2.986133,1
1,-9.5922,-42.366753,1
2,-91.66316,15.590834,1
3,-73.88454,30.993788,1
4,-66.053955,9.07782,1
5,64.20012,-46.53988,1
6,-45.06636,-40.806484,1
7,13.496783,-82.59431,1
8,-2.0005608,-58.4944,1
9,31.247547,3.2216377,1
10,-22.835733,-10.980435,1
11,-68.501114,31.485836,1
12,23.743319,-17.047882,1
13,-51.25089,-26.840534,1
14,-45.302498,-30.247559,1
15,3.7540548,-73.16757,1
16,-38.920113,36.494648,1
17,11.814628,-19.702875,1
18,-39.7141,-22.69513,1
19,-43.5974,-69.13082,1
20,-1.3534023,-75.65639,1
21,-62.8553,-7.3649,1
22,67.23377,-31.083134,1
23,-99.82316,2.1863108,1
24,30.388744,-73.710205,1
25,-70.24724,-32.751503,1
26,-42.788246,-37.085346,1
27,-90.31035,29.458324,1
28,-0.43896204,-65.569275,1
29,67.21121,-57.235657,1
30,-56.48665,-37.37197,1
31,-92.18291,15.820544,1
32,-36.600464,19.989363,1
33,-70.96666,3.8531063,1
34,-67.18452,3.627588,1
35,-40.96905,-1.5447443,1
36,-66.60313,-17.366943,1
37,-14.9925785,-57.01557,1
38,31.643412,-32.649776,1
39,27.837627,-11.724186,1
40,5.218957,-78.79988,1
41,-37.195522,35.949352,1
42,22.649443,-23.317421,1
43,37.41155,-36.408497,1
44,26.73188,-67.04876,1
45,-38.666904,-12.822114,1
46,-45.71752,-61.640984,1
47,-63.970543,40.468735,1
48,-56.717743,-22.01942,1
49,-95.429245,26.530592,1
50,24.842066,-17.077753,1
51,-58.86505,3.7073634,1
52,-20.124388,-51.040585,1
53,-13.24974,-59.887463,1
54,13.007462,-55.55223,1
55,32.466606,-48.35718,1
56,-62.795544,-36.049164,1
57,-34.78612,8.001412,1
58,-43.054203,18.120981,1
59,-66.47049,11.687716,1
60,-42.529022,20.436228,1
61,-62.147038,-6.3996997,1
62,-83.25664,22.34282,1
63,25.276964,-59.584457,1
64,-18.817432,-15.063296,1
65,44.34388,-19.031967,1
66,-42.13437,-63.07938,1
67,-104.406815,20.329859,1
68,-42.097443,-67.19191,1
69,-66.12596,-20.214453,1
70,-42.450737,-30.874651,1
71,-62.588882,14.684813,1
72,-25.373466,-32.23152,1
73,28.4087,-69.58732,1
74,-74.5963,36.654613,1
75,-55.815582,22.726803,1
76,-44.34363,46.65844,1
77,-75.0741,32.684937,1
78,-61.837154,-52.06257,1
79,21.902939,-38.25088,1
80,-14.767438,-63.009598,1
81,-73.087296,-24.478006,1
82,-104.80558,3.4632814,1
83,-20.911106,-33.936337,1
84,37.82103,-34.735695,1
85,-30.016085,11.449277,1
86,-64.64197,-50.135757,1
87,-61.855324,-22.604277,1
88,-4.926979,-79.86832,1
89,-39.600815,37.292,1
90,-46.27597,46.979195,1
91,7.5295253,-24.60505,1
92,-24.178675,-17.949015,1
93,10.4061165,-22.597801,1
94,25.450542,-61.06916,1
95,25.658693,-21.140434,1
96,-33.303604,20.5673,1
97,-0.074892364,-38.6957,1
98,12.591909,-42.983414,1
99,-29.35557,-37.01294,1
100,-59.39931,2.6298146,1
101,15.87792,-52.88194,1
102,56.647453,-33.84681,1
103,-17.198978,-77.09644,1
104,-31.555546,-20.747711,1
105,-30.207594,-58.994514,1
106,37.648106,-67.256424,1
107,25.209276,-43.098484,1
108,-21.069641,-42.533,1
109,-0.094271466,-68.610054,1
110,-47.372,-28.47213,1
111,-74.52592,-22.93334,1
112,-51.23986,50.1153,1
113,-31.627796,-39.02403,1
114,27.929783,-64.14954,1
115,-102.55275,13.135545,1
116,-67.26487,2.4213784,1
117,-62.686134,-36.581432,1
118,-10.315302,-68.266304,1
119,-74.38086,30.238762,1
120,22.703602,-4.8716965,1
121,-32.13232,-60.036457,1
122,25.674778,-58.566,1
123,30.176456,15.965281,1
124,-36.889874,35.301823,1
125,-52.43711,16.19295,1
126,-12.81395,-65.24529,1
127,-43.34564,8.999952,1
128,-46.97622,-28.406782,1
129,15.347759,-41.308838,1
130,-64.78915,-56.482395,1
131,26.696484,-34.29416,1
132,-19.911194,-11.543442,1
133,-18.449736,-75.77075,1
134,43.779137,4.539002,1
135,-63.96475,24.779167,1
136,-4.2770977,-78.842926,1
137,-20.04876,-76.5642,1
138,14.148307,-79.936935,1
139,-41.673386,-67.036964,1
140,-16.508486,-45.41639,1
141,13.942284,-40.001225,1
142,2.9748366,-33.011383,1
143,-16.692055,-60.157673,1
144,-69.54838,5.3564568,1
145,-27.256477,-16.663702,1
146,-46.7237,52.013733,1
147,-70.35938,23.71328,1
148,41.778774,-38.030792,1
149,-68.63549,41.954514,1
150,-9.318033,-64.301125,1
151,70.36483,-9.434649,1
152,-42.338787,9.105519,1
153,-17.579823,-35.704906,1
154,21.070343,-16.853598,1
155,-64.38007,-7.3256946,1
156,-37.55461,-43.258312,1
157,24.688187,21.637604,1
158,-26.047764,-55.264233,1
159,5.3730755,-24.891043,1
160,11.072112,-21.267454,1
161,-16.637396,-46.047188,1
162,-44.833355,37.972107,1
163,-65.500275,-50.324562,1
164,-63.735916,-54.673042,1
165,9.427046,-24.322575,1
166,33.559204,-44.844536,1
167,36.28787,-70.10802,1
168,15.269033,-28.27633,1
169,-62.20121,2.8785276,1
170,10.247169,-84.06687,1
171,-54.740868,41.9755,1
172,9.519353,-80.59989,1
173,-44.400192,43.48472,1
174,6.424439,-32.289978,1
175,15.854211,-52.288307,1
176,-9.075135,-66.78803,1
177,-70.163246,-31.404078,1
178,30.30706,-15.484262,1
179,-16.775997,-60.582592,1
180,-39.004436,-68.226654,1
181,-71.42509,8.951677,1
182,26.322115,-45.573418,1
183,-61.88401,-52.193928,1
184,-49.146862,45.25691,1
185,9.054913,-82.326294,1
186,-61.54649,3.395781,1
187,-32.973995,21.657377,1
188,6.267544,-29.919348,1
189,48.554577,-53.89546,1
190,-100.6603,-2.8583012,1
191,-108.722725,17.738657,1
192,-65.63337,4.3289065,1
193,-102.61049,21.439722,1
194,-106.32887,19.781286,1
195,-65.792465,42.436768,1
196,-11.724972,-59.420662,1
197,-100.07109,-1.0890484,1
198,18.116123,-42.42843,1
199,-29.851032,12.02518,1
200,-39.720688,16.237099,1
201,-72.123344,36.359253,1
202,-97.64289,3.4729767,1
203,34.728092,-7.223942,1
204,24.141848,-16.791191,1
205,26.761652,-0.42303905,1
206,-3.8868604,-73.496704,1
